ACT Symbol|Security Name|Exchange|CQS Symbol|ETF|Round Lot Size|Test Issue|NASDAQ Symbol
BBVA|Banco Bilbao Vizcaya Argentaria S.A. Common Stock|N|BBVA|N|100.0|N|BBVA
BBW|Build-A-Bear Workshop, Inc. Common Stock|N|BBW|N|100.0|N|BBW
BBWI|Bath & Body Works, Inc.|N|BBWI|N|100.0|N|BBWI
BBY|Best Buy Co., Inc. Common Stock|N|BBY|N|100.0|N|BBY
BC|Brunswick Corporation Common Stock|N|BC|N|100.0|N|BC
BCAT|BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest|N|BCAT|N|100.0|N|BCAT
BCC|Boise Cascade, L.L.C. Common Stock|N|BCC|N|100.0|N|BCC
BCE|BCE, Inc. Common Stock|N|BCE|N|100.0|N|BCE
BCH|Banco De Chile ADS|N|BCH|N|100.0|N|BCH
BCO|Brinks Company (The) Common Stock|N|BCO|N|100.0|N|BCO
BCS|Barclays PLC Common Stock|N|BCS|N|100.0|N|BCS
BCSF|Bain Capital Specialty Finance, Inc. Common Stock|N|BCSF|N|100.0|N|BCSF
BCV|Bancroft Fund, Ltd.|A|BCV|N|100.0|N|BCV
BCX|BlackRock Resources Common Shares of Beneficial Interest|N|BCX|N|100.0|N|BCX
BDC|Belden Inc Common Stock|N|BDC|N|100.0|N|BDC
BDCZ|ETRACS MarketVector Business Development Companies Liquid Index ETN due April 26, 2041|P|BDCZ|N|100.0|N|BDCZ
BDJ|Blackrock Enhanced Equity Dividend Trust|N|BDJ|N|100.0|N|BDJ
BDL|Flanigan's Enterprises, Inc. Common Stock|A|BDL|N|100.0|N|BDL
BDN|Brandywine Realty Trust Common Stock|N|BDN|N|100.0|N|BDN
BDX|Becton, Dickinson and Company Common Stock|N|BDX|N|100.0|N|BDX
BE|Bloom Energy Corporation Class A Common Stock|N|BE|N|100.0|N|BE
BEDU|Bright Scholar Education Holdings Limited American Depositary Shares, each  representing four Class A Ordinary Share|N|BEDU|N|100.0|N|BEDU
BEEP|Mobile Infrastructure Corporation Common Stock|A|BEEP|N|100.0|N|BEEP
